fecha,segmento,subsegmento,cliente,fantasia,porcentaje_total,supervisor,promotor,ruta,grupos,origen
2026-08-10,VALUE,LITRO,1,FORRAJERIA TRELEW,0.1,,071 MISA,713 - VE 071 MISA 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LATA,1,FORRAJERIA TRELEW,0.18,,071 MISA,713 - VE 071 MISA 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LITRO,10,LA RUEDA,0.1,,071 MISA,713 - VE 071 MISA 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LATA,10,LA RUEDA,0.18,,071 MISA,713 - VE 071 MISA 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LITRO,100005,BACO,0.1,,202 LUJU,2021 - VE 202 LUJU 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LATA,100005,BACO,0.18,,202 LUJU,2021 - VE 202 LUJU 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LITRO,100009,DON RAMON,0.1,,202 LUJU,2021 - VE 202 LUJU 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LATA,100009,DON RAMON,0.18,,202 LUJU,2021 - VE 202 LUJU 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LITRO,100022,PARALELO 42,0.1,,202 MAVI,2022 - VE 202 MAVI 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
2026-08-10,VALUE,LATA,100022,PARALELO 42,0.18,,202 MAVI,2022 - VE 202 MAVI 11,105 ADICIONAL 1890 LATA SUR | 3036 ADICIONAL 1890 K+T SUR | 3098 1890 LATA K+T SUR. | 3098 1890 LITRO K+T P1 Y P4,ERP 2026-08-10
