fecha,segmento,accion_id,promo_compania,descripcion,grupo,clientes,origen
2026-08-10,VALUE,3360,290123,1890 LITRO K+T P1 Y P4,3098,908,ERP
2026-08-10,VALUE,3361,290124,1890 LITRO AS SUR.,3099,52,ERP
2026-08-10,VALUE,3362,290125,ADIC LITRO 1890 K-T DEL VALLE,3014,357,ERP
2026-08-10,VALUE,3363,290129,ADIC 1890 LT AS DEL VALLE,3015,33,ERP
2026-08-10,VALUE,3364,290142,1890 LATA K+T SUR.,3098,908,ERP
2026-08-10,VALUE,3365,290149,LATA 1890 AS SUR.,3099,52,ERP
2026-08-10,VALUE,3366,294840,ADICIONAL 1890 K+T SUR,3036,909,ERP
2026-08-10,VALUE,3367,294841,EXTRA LITRO/LATA/LATON SUR AS,3035,52,ERP
2026-08-10,VALUE,3418,23590,ADICIONAL 1890 LATA SUR,105,1664,ERP regla dinámica confirmada 2026-08-10; clientes completos desde descarga previa
2026-08-10,CORE,3404,308142,SUR- CORE K+T (TIER 1),3091,575,ERP
2026-08-10,CORE,3405,308144,SUR- CORE K+T (TIER 2),3092,268,ERP
2026-08-10,CORE,3406,308150,SUR- CORE K+T (TIER 3),3093,262,ERP
2026-08-10,CORE,3407,308281,CORE ESCALA 2 AS SUR,3095,23,ERP
2026-08-10,CORE,3408,308162,SUR- CORE AS (TIER 1),3094,22,ERP
2026-08-10,CORE,3409,308286,CORE ESCALA 3 AS SUR,3096,10,ERP
2026-08-10,CORE,3412,23057,EXCEPCION CORE RGB/473--> AS SUR- DROP 3ERA ESCAL,2725,2,ERP
2026-08-10,CORE,,,EXCEPCION CORE 3RA ESCALA - SUR KT (grupo monitoreado sin acción CORE vigente detectada),2724,4,ERP grupo sin acción vigente
